anio,ciudad,servicio,valor
2020,Guayaquil,Netflix,88
2020,Guayaquil,Facebook,155
2020,Guayaquil,Google,121
2020,Guayaquil,Zoom,55
2020,Guayaquil,Disney+,53
2020,Guayaquil,Akamai,72
2020,Guayaquil,Microsoft,46
2020,Guayaquil,Otros Servicios,40
2020,Quito,Netflix,75
2020,Quito,Facebook,144
2020,Quito,Google,153
2020,Quito,Zoom,42
2020,Quito,Disney+,40
2020,Quito,Akamai,55
2020,Quito,Microsoft,31
2020,Quito,Otros Servicios,26
2020,Otras Ciudades,Netflix,22
2020,Otras Ciudades,Facebook,75
2020,Otras Ciudades,Google,59
2020,Loja,Zoom,27
2020,Machala,Disney+,7
2020,Otras Ciudades,Akamai,22
2020,Otras Ciudades,Microsoft,14
2020,Otras Ciudades,Otros Servicios,32
