anio,ciudad,trafico
2020,Alausi,0.58
2020,Ambato,22.39
2020,Atuntaqui,2.74
2020,Babahoyo,6.72
2020,Balsas,0.89
2020,Balzar,0.8
2020,Banos,1.64
2020,Cayambe,3.45
2020,Coca,2.15
2020,Cotacachi,0.97
2020,Cuenca,17.71
2020,Daule,1.97
2020,Duran,3.19
2020,Esmeraldas,9.87
2020,Esmeraldas2,10.61
2020,Guayaquil,571.15
2020,Guaranda,2.57
2020,Ibarra,18.12
2020,Jipijapa,4.04
2020,Lagoagrio,2.21
2020,Latacunga,5.41
2020,Loja,4.47
2020,Macas,16.37
2020,Machala,17.11
2020,Manta,33.46
2020,Milagro,19.64
2020,Montecristi,0.39
2020,Naranjal,2.18
2020,Otavalo,6.81
2020,Palestina,0.21
2020,Pasaje,0.96
2020,Pedernales,1.04
2020,Pifo,5.4
2020,Pinas,0.89
2020,Playas,2.71
2020,Portoviejo,25.92
2020,Posorja,1.97
2020,Progreso,0.14
2020,Puyo,5.5
2020,Quininde,0.64
2020,Qvdo,20.51
2020,Riobamba,32.74
2020,Salcedo,1.56
2020,Salinas,30.47
2020,Santarosa,0.64
2020,Shushufindi,0.3
2020,Stodomingo,16.89
2020,Tabacundo,0.64
2020,Tarifa,0.54
2020,Tena,1.99
2020,Tonsupa,1.92
2020,Tulcan,1.25
2020,Quito,497.96
2020,Vinces,2.7
2020,Virgendefatima,2.57
2020,Zaruma,0.26
2021,Alausi,0.6
2021,Ambato,26.73
2021,Atuntaqui,3.09
2021,Babahoyo,7.9
2021,Balsas,0.25
2021,Balzar,0.83
2021,Banos,1.43
2021,Cayambe,3.61
2021,Coca,1.58
2021,Cotacachi,1.47
2021,Cuenca,19.18
2021,Daule,3.89
2021,Duran,3.61
2021,Esmeraldas,0.39
2021,Esmeraldas2,5.11
2021,Guayaquil,622.34
2021,Ibarra,20.98
2021,Jipijapa,4.31
2021,Lagoagrio,2.67
2021,Latacunga,5.13
2021,Loja,5.52
2021,Macas,0.56
2021,Machala,18.29
2021,Manta,37.19
2021,Milagro,20.42
2021,Naranjal,2.61
2021,Otavalo,7.86
2021,Palestina,0.29
2021,Pasaje,0.42
2021,Pedernales,0.36
2021,Pifo,5.84
2021,Pinas,0.94
2021,Playas,3.22
2021,Portoviejo,26.58
2021,Posorja,1.76
2021,Progreso,0.15
2021,Puyo,5.61
2021,Quininde,4.03
2021,Qvdo,25.99
2021,Riobamba,32.1
2021,Salcedo,0.92
2021,Salinas,31.44
2021,Santarosa,0.82
2021,Shushufindi,0.24
2021,Stodomingo,16.65
2021,Tabacundo,0.67
2021,Tarifa,0.56
2021,Tena,2.24
2021,Tonsupa,2.34
2021,Tulcan,1.28
2021,Quito,496.39
2021,Vinces,2.94
2021,Virgendefatima,2.63
2021,Zaruma,0.27
